"Cidade atual","Destino1","Distancia1","Destino2","Distancia2","Destino3","Distancia3","Dica1","Dica2","Dica3","Descrição"
"Nova York","Paris",5,"Brasilia",2,"Olivedos",3,"Cidade que possui a estatua da deusa Semiramis.","Ele trocou seu dinheiro por doláres.","Conjunto de teatros conhecido mundialmente por suas perfomaces.","É a cidade mais populosa dos Estados Unidos, considerada a capital cultural do mundo, possui a Estátua da Liberdade, produções da Brodway, Times Square, como pontos turisticos a serem visitados."
"Tokyo","Istambul",6,"Pequim",2,"Sydney",5,"Bandido foi visto com a organização criminosa Yakuza.","Possui uma bola vermelha na bandeira do seu país.","Possui um bairro famoso por games e mangás, chamado Akihabara.","Situa-se em Honshu, possui mais de 9 milhões de habitantes, Tokyo é o principal centro político, financeiro, comercial, educacional e cultural do Japão. Assim sendo, Tóquio possui a maior concentração de sedes de empresas comerciais, instituições de ensino superior, teatros e outros estabelecimentos comerciais e culturais do país."
"Amsterdam","Moscou",3,"Roma",3,"Berlim",1,"Cidade onde se encontra a antiga casa de uma judia famosa por ter escrito um diário.","Bandido foi visto comendo uma torta de maçã.","Casa do pintor Rembrant.","A cidade está localizada na província da Holanda do Norte, no oeste do País Baixo,é considerada uma cidade global, entre os seus residentes famosos estão Anne Frank, o artista Vincent van Gogh, o pintor Rembrant e o filósofo Baruch Spinoza."
"Londres","Paris",2,"Olivedos",6,"Berlim",2,"Lá você sempre saberá que horas são.","Cidade da realeza.","Os soldados usam bearkins na cabeça.","É a capital da Inglaterra e do Reino Unido. A cidade possui quatro Patrimônios Mundiais: a Torre de Londres; os Reais Jardins Botânicos de Kew; o local que compreende o Palácio de Westminster, a Abadia de Westminster e a Igreja de Santa Margarida; e o local histórico de Greenwich."
"Olivedos","Londres",6,"Brasilia",7,"Nova York",3,"Sabe onde fica Soledade? Pronto, é um pouco antes.","Terra dos Oliveira Lêdo.","Cidade onde Witória nasceu.","Única cidade do país Olivedos, conhecidas por suas história inusitadas e por ser um lugar quase que totalmente inabitado. Possui crescimento vegetativo nulo, e sua localização é quase que num buraco de minhoca de tão dificil de ser explicada."
"Paris","Londres",2,"Nova York",5,"Moscou",4,"O bandido foi visto carregando uma bandeira azul, branca e vermelha nessa cidade.","Torre enorme de metal em formato de triangulo.","Possui personagem fiticio famoso por ser corcunda.","É a capital e a mais populosa cidade da França,Abrigando numerosos monumentos, por seu considerável papel político e econômico, Paris é também uma cidade importante na história do mundo. Símbolo da cultura francesa, a cidade atrai quase 30 milhões de visitantes por ano, ocupando, também, um lugar preponderante no mundo da moda e do luxo."
"Brasilia","Nova York",2,"Olivedos",7,"Buenos Aires",1,"Cidade projetada em formato de borboleta, mas se assemelha a uma avião.","Lá os bandidos usam terno e gravata.","Cidade projetada por Oscar Niemeyer.","A capital e distrito federal do Brasil, é localizada na região Centro-oeste,a cidade foi desenvolvida e projetada por Lúcio Costa e Oscar Niemeyer. Inaugurada em 21 de abril de 1960, pelo então presidente Juscelino Kubitschek, Brasília tornou-se formalmente a terceira capital do Brasil, após Salvador e Rio de Janeiro. Vista de cima, a principal área da cidade se assemelha ao formato de um avião, porém foi projetada em formato de borboleta."
"Moscou","Paris",4,"Pequim",4,"Amsterdam",3,"Cidade natal do famoso escritor Dostoievski.","Onde Napoleão e Hitler se lascaram.","Bandido também está sendo investigado pela Organização Secreta KGB.","Capital da Rússia, no curso de sua história, a cidade serviu como capital de diversos Estados, como da Moscóvia medieval, do subsequente Czarado da Rússia e da União Soviética."
"Istambul","Tokyo",6,"Vancouver",6,"Sydney",3,"Cidade que antigamente chamava-se Constantinopla.","Sede da Igreja Catolica Ortodoxa","Mesquita de Sultanahmet","A maior cidade da Turquia, Istambul é polo industrial, comercial, cultural e universitário do país mesmo sua capital sendo Ankara. Foi denominada Bizancio até 330 d.C. e Constantinopla até 1453, nome bastante difundido até 1930."
"Buenos Aires","Brasilia",1,"Roma",6,"Sydney",4,"Possui um sol na bandeira do seu país.","Rival do Brasil no futebol.","Possui uma praça com o nome do quinto mês do ano.","É a capital e maior cidade da Argentina, além de ser a segunda maior área metropolitana da América do Sul, a qualidade de vida na cidade de Buenos Aires é classificada como sendo a 62.ª melhor do mundo. A cidade é a terra natal do atual papa, Francisco (ex-arcebispo de Buenos Aires), e de Máxima dos Países Baixos, a atual rainha-consorte da realeza neerlandesa."
"Pequim","Tokyo",2,"Moscou",6,"Sydney",5,"Possui a maior estrutura militar de defesa da história.","Bandido foi visto negociando com a Tríade.","Yaksoba!","É a capital da República Popular da China e uma das metrópoles mais populosas do mundo. A história da cidade remonta a mais de três milênios. Como a última das quatro grandes capitais antigas da China, Pequim tem sido o centro político do país por grande parte dos últimos 800 anos. A cidade é famosa por seus opulentos palácios, templos, parques, jardins, túmulos, muralhas, portões, e por seus tesouros artísticos e universidades, que a tornaram um centro cultural na China."
"Roma","Buenos Aires",6,"Berlim",2,"Amsterdam",3,"Capital do antigo império romano.","Anfiteatro de gladiadores.","Pão e circo!","Roma é uma das cidades mais importantes da história da humanidade, exercendo uma influência sem igual no desenvolvimento da história e da cultura dos europeus durante milênios e na construção da Civilização Ocidental. Sua história abrange mais de dois mil e quinhentos anos, desde a sua fundação lendária em 753 a.C."
"Berlim","Londres",2,"Roma",2,"Amsterdam",1,"Possui um muro com o seu nome.","7 a 11!","Berço de Adolf Hitler.","Localizada na grande planície europeia, Berlim é influenciada por um clima temperado sazonal. Cerca de um terço da área da cidade é composta por florestas, parques, jardins, rios e lagos. Documentada pela primeira vez no século XIII, Berlim foi sucessivamente a capital do Reino da Prússia (1701-1918), do Império Alemão (1871-1918), da República de Weimar (1919-1933) e do Terceiro Reich (1933-1945)."
"Sydney","Pequim",5,"Istambul",1,"Buenos Aires",4,"Cidade mais populosa da Oceania.","Tribos aborígenes.","Seu país possui uma bandeira similar a do Reino Unido.","É a capital do estado de Nova Gales do Sul e a cidade mais populosa de toda a Austrália e Oceania. Seus pontos turísticos incluem a Baía de Sydney, o Royal National Park, a praia de Bondi e os Royal Botanic Gardens. A Ópera de Sydney e a Ponte da Baía de Sydney são as construções mais conhecidas pelos visitantes internacionais."
"Vancouver","Istambul",6,"Pequim",5,,,"Nome da cidade origina-se do holândes 'Van Coeborden'.","Cidade de um país bilingue (Inglês/Francês)",,"Vancouver é a maior área metropolitana no Oeste do Canadá e ocupa a posição de terceira maior do Canadá.O nome da cidade vem do capitão britânico George Vancouver, que explorou a área na década de 1790. O nome 'Vancouver' origina-se do holandês 'van Coevorden', denotando alguém de Coevorden, uma cidade nos País Baixo."
